0.0016977,5.4293,39.908,701.01
0.88889,5.4188,39.908,701.01
1.8603,5.4112,39.908,701.01
2.8218,5.4023,39.908,701.01
3.7963,5.3954,39.908,701.01
4.7722,5.3918,39.908,701.01
5.758,5.3875,39.908,701.01
6.7352,5.3837,39.908,701.01
7.696,5.3803,39.908,701.01
8.6596,5.3757,39.908,701.01
9.6551,5.3697,39.908,701.01
10.618,5.3625,39.908,701.01
11.482,5.3518,39.908,701.01
12.535,5.3301,39.908,701.01
13.531,5.2844,39.908,701.01
13.799,5.2671,39.908,701.01
13.998,5.251,39.908,701.01
14.164,5.2315,39.908,701.01
14.344,5.2112,39.908,701.01
14.505,5.1888,39.908,701.01
14.704,5.1582,39.908,701.01
14.887,5.126,39.908,701.01
15.07,5.0872,39.908,701.01
15.25,5.0454,39.908,701.01
15.43,4.9973,39.908,701.01
15.613,4.9417,39.908,701.01
15.79,4.8802,39.908,701.01
15.954,4.8156,39.908,701.01
16.151,4.7304,39.908,701.01
16.331,4.6392,39.908,701.01
16.507,4.5389,39.908,701.01
16.672,4.4359,39.908,701.01
16.861,4.3038,39.908,701.01
17.047,4.1595,39.908,701.01
17.224,4.0076,39.908,701.01
17.399,3.8424,39.908,701.01
17.583,3.6554,39.908,701.01
17.761,3.4545,39.908,701.01
17.94,3.2359,39.908,701.01
18.121,3.0044,39.908,701.01
18.294,2.7599,39.908,701.01
18.472,2.4941,39.908,701.01
18.651,2.2016,39.908,701.01
18.813,1.9368,39.908,701.01
19.009,1.5986,39.908,701.01
19.184,1.2702,39.908,701.01
19.363,0.92028,39.908,701.01
19.536,0.57006,39.908,701.01
19.698,0.22927,39.908,701.01
19.799,0.0084789,39.908,701.01
19.804,-0.0022384,39.908,701.01
19.803,-0.0023335,39.908,701.01
19.803,-0.0023119,39.908,701.01
19.802,-0.0025462,39.908,701.01
19.802,-0.0021322,39.908,701.01
19.802,-0.0017499,39.908,701.01
0,5.4293,39.908,701.01
19.836,0,39.908,701.01
0.0022638,5.5024,39.736,710.53
0.90117,5.4992,39.736,710.53
1.6645,5.4942,39.736,710.53
2.8524,5.4862,39.736,710.53
3.7572,5.483,39.736,710.53
4.8361,5.4806,39.736,710.53
5.8039,5.4789,39.736,710.53
6.7938,5.4759,39.736,710.53
7.7899,5.4739,39.736,710.53
8.7724,5.4711,39.736,710.53
9.6598,5.468,39.736,710.53
10.727,5.4607,39.736,710.53
11.713,5.4489,39.736,710.53
12.692,5.4276,39.736,710.53
13.655,5.3804,39.736,710.53
13.935,5.362,39.736,710.53
14.117,5.3463,39.736,710.53
14.275,5.3291,39.736,710.53
14.473,5.3057,39.736,710.53
14.648,5.2799,39.736,710.53
14.829,5.2507,39.736,710.53
14.986,5.222,39.736,710.53
15.183,5.18,39.736,710.53
